,loss,root_mean_squared_error,mean_absolute_error,val_loss,val_root_mean_squared_error,val_mean_absolute_error
0,0.30413317680358887,0.5514827370643616,0.43798917531967163,0.19785581529140472,0.44480985403060913,0.3392102122306824
1,0.15021197497844696,0.38757190108299255,0.29520750045776367,0.13104934990406036,0.36200737953186035,0.2751690149307251
2,0.09849007427692413,0.31383126974105835,0.23601533472537994,0.08613435924053192,0.2934865653514862,0.21871861815452576
3,0.06881748139858246,0.2623308598995209,0.1979420930147171,0.05887860059738159,0.2426491379737854,0.1809360384941101
4,0.04774334281682968,0.21850250661373138,0.16395781934261322,0.04052954912185669,0.20131951570510864,0.15161825716495514
5,0.03606165573000908,0.18989907205104828,0.14442449808120728,0.029392629861831665,0.17144279181957245,0.12908050417900085
6,0.027106115594506264,0.16463935375213623,0.1252557635307312,0.022203724831342697,0.14900913834571838,0.11557354032993317
7,0.021539511159062386,0.14676345884799957,0.11256947368383408,0.017720844596624374,0.13311965763568878,0.10435621440410614
8,0.01881091110408306,0.13715288043022156,0.10545411705970764,0.012117141857743263,0.1100778877735138,0.08704696595668793
9,0.015418516471982002,0.12417131662368774,0.0949569121003151,0.010684040375053883,0.10336363315582275,0.08034314215183258
10,0.01312250830233097,0.11455351859331131,0.08732795715332031,0.008489537984132767,0.09213868528604507,0.07246340066194534
11,0.01171042025089264,0.10821469873189926,0.08199337124824524,0.007301484700292349,0.0854487270116806,0.06853987276554108
12,0.01034652441740036,0.10171786695718765,0.07661082595586777,0.006068429443985224,0.07790012657642365,0.06253446638584137
13,0.009437947534024715,0.09714909642934799,0.07269328087568283,0.005105838645249605,0.07145515084266663,0.0564693920314312
14,0.007699897978454828,0.08774906396865845,0.06525371968746185,0.005299665965139866,0.07279880344867706,0.05917256325483322
15,0.007315917406231165,0.08553313463926315,0.0636417493224144,0.004222705028951168,0.0649823471903801,0.052735984325408936
16,0.00704646622762084,0.08394323289394379,0.061643749475479126,0.0061041973531246185,0.0781293660402298,0.0650586262345314
17,0.006855518091470003,0.0827980563044548,0.06007568538188934,0.004322168882936239,0.06574320048093796,0.05307341367006302
18,0.0069858175702393055,0.08358120173215866,0.06043412163853645,0.0038194041699171066,0.061801329255104065,0.04961312934756279
19,0.005779196508228779,0.07602102309465408,0.05460182577371597,0.003661731258034706,0.0605122409760952,0.04816439002752304
20,0.004954066127538681,0.07038512825965881,0.05098595842719078,0.003950689919292927,0.06285451352596283,0.04955291002988815
21,0.006558437831699848,0.08098418265581131,0.05662989616394043,0.004443671554327011,0.06666086614131927,0.0519770085811615
22,0.005275190342217684,0.07263050228357315,0.05214904248714447,0.0034267541486769915,0.05853848531842232,0.0461445078253746
23,0.005037970375269651,0.07097866386175156,0.05083852261304855,0.003319947747513652,0.05761898681521416,0.046585798263549805
24,0.004427427425980568,0.06653891503810883,0.04791979864239693,0.0031082346104085445,0.05575154349207878,0.04312029480934143
25,0.0039673177525401115,0.06298664957284927,0.045314595103263855,0.0033818059600889683,0.05815329775214195,0.04533538967370987
26,0.0039891768246889114,0.06315992772579193,0.04561856761574745,0.0027445885352790356,0.05238882079720497,0.04154423624277115
27,0.007467744406312704,0.08641611039638519,0.05701896920800209,0.0026805957313627005,0.05177446827292442,0.041303861886262894
28,0.003941139206290245,0.06277849525213242,0.044931672513484955,0.004115287680178881,0.06415050476789474,0.05139933153986931
29,0.006321611814200878,0.07950856536626816,0.054541341960430145,0.002676124218851328,0.05173126980662346,0.04056496545672417
30,0.0033836597576737404,0.05816923454403877,0.04174831509590149,0.002201073570176959,0.046915601938962936,0.03743577376008034
31,0.003354664659127593,0.057919468730688095,0.0414382629096508,0.002574956975877285,0.050744034349918365,0.04000893607735634
32,0.003342346055433154,0.05781302601099014,0.04122685268521309,0.0020238603465259075,0.04498733580112457,0.035350386053323746
33,0.0031873327679932117,0.056456468999385834,0.04006137698888779,0.0022115460596978664,0.04702707752585411,0.036871567368507385
34,0.0036112465895712376,0.06009364873170853,0.04282520338892937,0.002639178652316332,0.051372937858104706,0.04031850025057793
35,0.0033283852972090244,0.057692158967256546,0.04105833172798157,0.0020095177460461855,0.044827643781900406,0.03463844954967499
36,0.004971860442310572,0.07051142305135727,0.04842943698167801,0.0019420828903093934,0.0440690703690052,0.03330555558204651
37,0.002945279935374856,0.054270435124635696,0.03848910704255104,0.0018650306155905128,0.0431860014796257,0.03376955911517143
38,0.0035819828044623137,0.05984966829419136,0.04209819808602333,0.002295166254043579,0.04790789261460304,0.03727336972951889
39,0.002711990149691701,0.05207677185535431,0.03704247996211052,0.002091551199555397,0.045733481645584106,0.035558175295591354
40,0.0025266369339078665,0.050265662372112274,0.035774532705545425,0.001884384430013597,0.043409496545791626,0.03343011811375618
41,0.002686493331566453,0.05183139443397522,0.03677133098244667,0.0016254864167422056,0.04031732305884361,0.030770162120461464
42,0.00547039695084095,0.07396212965250015,0.04912343621253967,0.002345269313082099,0.04842798039317131,0.03817727044224739
43,0.0031178605277091265,0.055837806314229965,0.03919733688235283,0.0016958117485046387,0.04118023440241814,0.03223812207579613
44,0.0027850449550896883,0.052773524075746536,0.0370844230055809,0.002412074478343129,0.04911287501454353,0.037911321967840195
45,0.003136439248919487,0.05600392073392868,0.039422281086444855,0.0018377074738964438,0.042868491262197495,0.03331422805786133
46,0.0033434394281357527,0.05782248079776764,0.04076851159334183,0.0020255879499018192,0.04500653222203255,0.03470370173454285
47,0.0023008643183857203,0.047967325896024704,0.033904217183589935,0.001893753418698907,0.043517276644706726,0.03404206782579422
48,0.0022979171480983496,0.04793659597635269,0.033859048038721085,0.0017015414778143167,0.04124974459409714,0.032744113355875015
49,0.0036188452504575253,0.06015683710575104,0.04131021350622177,0.0023082983680069447,0.048044752329587936,0.03774731606245041
50,0.0029414512682706118,0.054235149174928665,0.03849489614367485,0.001551216933876276,0.039385490119457245,0.030398022383451462
51,0.002304584952071309,0.0480060912668705,0.033914629369974136,0.0015478131826967,0.039342258125543594,0.031267501413822174
52,0.0022835051640868187,0.047786034643650055,0.0335482582449913,0.0015553106786683202,0.0394374281167984,0.03040068969130516
53,0.0032359592150896788,0.0568854920566082,0.038564033806324005,0.00266468757763505,0.051620613783597946,0.03962206840515137
54,0.004794891458004713,0.06924515217542648,0.04627971723675728,0.002268208423629403,0.04762571305036545,0.038106054067611694
55,0.0018953398102894425,0.0435355007648468,0.030771030113101006,0.0017709616804495454,0.04208279401063919,0.03292755037546158
56,0.0017133192159235477,0.041392259299755096,0.02944614738225937,0.0018669392447918653,0.04320809245109558,0.033847980201244354
57,0.0017789663979783654,0.042177796363830566,0.02977975830435753,0.0015505608171224594,0.039377160370349884,0.031168941408395767
58,0.002710670465603471,0.05206409841775894,0.03622640669345856,0.001672270125709474,0.040893398225307465,0.031665727496147156
59,0.0026581156998872757,0.051556918770074844,0.035729046911001205,0.0016461133491247892,0.04057232290506363,0.03108557127416134
60,0.002339610829949379,0.048369523137807846,0.033694829791784286,0.0015706613194197416,0.039631567895412445,0.030660510063171387
61,0.002099215518683195,0.04581719636917114,0.03226681798696518,0.0016618784284219146,0.040766142308712006,0.032261334359645844
62,0.002169105689972639,0.04657365754246712,0.032836202532052994,0.0025916413869708776,0.0509081669151783,0.03953880816698074
63,0.0024694837629795074,0.04969390109181404,0.03486240655183792,0.0014159914571791887,0.037629660218954086,0.028968224301934242
64,0.002207081066444516,0.04697958007454872,0.03265334665775299,0.0012587237870320678,0.03547849878668785,0.02787768840789795
65,0.005134196951985359,0.07165331393480301,0.045385606586933136,0.003682688344269991,0.060685157775878906,0.04676959663629532
66,0.0022332239896059036,0.04725699871778488,0.03285714238882065,0.0013189640594646335,0.03631754592061043,0.02833620272576809
67,0.0016299596754834056,0.040372759103775024,0.02826569229364395,0.001400030916556716,0.037416987121105194,0.027676474303007126
68,0.0018047622870653868,0.04248249530792236,0.02986292541027069,0.002286801813170314,0.04782051593065262,0.039130620658397675
69,0.0016033495776355267,0.04004184901714325,0.027926849201321602,0.0016454614233225584,0.04056428745388985,0.031697146594524384
